Date,Afghanistan,Albania,Algeria,Angola,Argentina,Aruba,Australia,Austria,Bahrain,Bangladesh,Barbados,Belgium,Belize,Benin,Bolivia,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Costa Rica,Cuba,Cyprus,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,El Salvador,Equatorial Guinea,Ethiopia,Faroe Islands,Fiji,Finland,French Polynesia,Gabon,Ghana,Greece,Greenland,Grenada,Guatemala,Guinea,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Israel,Jamaica,Japan,Jordan,Kenya,Lebanon,Liberia,Libya,Luxembourg,Madagascar,Malaysia,Mali,Malta,Mauritania,Mauritius,Mexico,Mongolia,Morocco,Mozambique,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Norway,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Rwanda,Samoa,Saudi Arabia,Senegal,Sierra Leone,Singapore,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Suriname,Sweden,Switzerland,Tanzania,Thailand,Togo,Tonga,Tunisia,Turkey,Uganda,United Arab Emirates,United Kingdom,United States,Uruguay,Vietnam
1910-01-01,0.29700000000000004,4.234999999999999,11.188,22.518,20.407,25.285999999999998,27.827,-2.72,15.023,17.124000000000002,24.605,2.77,21.221,24.968000000000004,21.655,24.97300000000001,1.261,23.753,24.894,22.946,-21.721,23.653,23.742,20.654,12.71,-8.619,23.858,26.372,23.631,21.991,11.055,-35.816,24.282,23.849,22.708,21.32,22.19400000000001,24.68,21.614,2.863,26.453000000000007,-9.136,26.191,23.929000000000002,25.404,6.274,-36.574,25.214,19.332,23.032,24.879,23.434,21.291999999999998,0.08300000000000017,-5.204,16.613,25.421999999999997,9.026,4.665,10.685,23.607,2.051,8.683,23.846,8.516,24.307,12.023,2.146,24.694000000000006,24.934,19.977999999999998,12.57,18.557,25.939,14.897,-24.311,9.583,25.301,5.6190000000000015,3.545,25.369,15.187,23.236,18.09,23.426,-8.988999999999997,8.237,26.716,24.756999999999998,24.591,26.841,19.885,24.85100000000001,-1.3199999999999998,7.731000000000001,16.45,-1.2970000000000002,18.288,25.977,15.024,23.378,24.281,25.711,26.16500000000001,25.02,21.963,5.609,25.215999999999998,24.908,-7.557,-1.138,22.116,23.354,25.538,25.508000000000006,9.784,1.077,22.652,17.839000000000006,3.544,-4.260000000000002,22.893,19.618
1910-02-01,3.851,7.284,13.918,22.766,19.077,25.26,27.435,-0.6080000000000001,17.303,19.763,24.465999999999998,4.021,22.567,28.520000000000003,21.487,25.09,4.823,28.01100000000001,26.323,23.875999999999998,-25.215,23.768,25.085,22.027,12.708,-6.0539999999999985,24.236,26.837,24.693,22.291,12.295,-33.938,25.323,23.739,22.96,21.449,23.801,25.104,22.853,3.624,26.865,-4.206,26.55,24.421,28.384,9.214,-34.686,25.171,20.93,26.598000000000006,25.335,23.932,23.023000000000003,3.727,-4.3660000000000005,19.175,25.10400000000001,12.355,5.605,13.414,23.903000000000002,-0.026000000000000027,12.119000000000002,24.606,11.085,26.615,13.527,3.4330000000000003,24.671,24.980999999999998,23.859,12.304,22.083,25.642,15.643999999999998,-18.405,11.761,25.495,7.747999999999998,4.46,25.239,15.899,24.483,20.587,25.902,-4.835000000000001,11.906,26.50500000000001,25.263,24.424,25.741,20.077,25.122,1.033,9.823,18.509,2.865,18.305,25.893,18.099,26.763,27.185,25.688000000000002,26.14,25.583000000000002,21.432,7.93,26.019,25.269000000000002,-3.167,0.1070000000000001,22.596,24.866,28.534,25.841,10.705,3.695,23.313,20.208,4.78,-4.243,21.489,19.921
1910-03-01,6.727,6.722,17.787,22.736,16.474,25.239,24.41,2.077,18.589000000000002,24.372000000000003,24.813000000000002,5.765,23.045,29.607,21.168000000000006,24.685,4.21,30.68,27.721,24.484,-14.011,24.020000000000003,25.279,24.227,11.063,-0.1509999999999998,23.88900000000001,26.948,24.247,22.724,11.416,-30.371,26.954,24.245,23.528,21.293000000000006,23.418000000000006,24.987,23.701,5.025,26.427000000000003,-3.4019999999999997,26.397,24.362,28.3,8.013,-31.072,25.381,21.045,28.292,25.372,24.121,23.226999999999997,5.314,-1.618,23.656,25.356,12.767999999999999,6.7410000000000005,12.195,23.993000000000002,3.182,11.640999999999998,25.276000000000003,10.086,26.69,16.162,5.195,24.241000000000003,25.451,28.029,12.611999999999998,25.23,25.237,18.693,-12.068,13.027,25.003,12.786,5.74,24.981,14.075,24.41,24.657,27.885,-4.314,15.833000000000002,26.46,25.182,24.484,24.722,19.915000000000006,25.665,2.753,10.002,19.87,3.209,18.547,25.769,19.36,28.804,28.082,26.175,25.954,27.44,20.225,8.206999999999999,26.857,25.212,-1.7919999999999998,2.7140000000000004,22.887,26.104,28.719,25.374,13.804,4.112,23.395,22.258000000000006,5.997999999999998,5.972,18.844,21.840999999999998
1910-04-01,12.63,10.98,22.001,22.021,13.181,26.651,22.125999999999998,5.3660000000000005,23.679000000000002,27.307,25.497,8.193999999999999,25.134,29.197,20.805,24.605,9.495,31.311,28.511999999999997,24.701,-5.6160000000000005,25.206,26.333,29.271,8.446000000000002,7.246,24.117,25.894,25.774,23.854,16.339000000000002,-23.261,28.424,25.088,24.377,21.585,25.22300000000001,24.714,24.382,3.242,26.018,1.041,26.496,24.38300000000001,28.007,12.687999999999999,-23.875,25.877,23.404,28.558000000000003,25.2,25.028,25.395,9.661,-3.0669999999999997,27.272,25.236,20.411,6.896000000000001,18.531,25.018,9.363,18.774,24.6,16.049000000000003,26.698,22.8,7.8889999999999985,23.145,25.69400000000001,30.261,14.895,28.142,24.471,20.605,1.091,15.610999999999999,22.756999999999998,16.990000000000002,7.9650000000000025,23.304,9.844,26.425,29.778,28.878,-1.941,20.612,26.685,26.320999999999998,24.331,23.307,19.475,26.482,7.921,12.309,24.651,8.724,18.536,26.019,25.082,30.763,28.006999999999998,26.399,25.944000000000006,28.254,17.104000000000006,10.904000000000002,27.625999999999998,25.199,1.775,5.414,21.588,27.768,28.046,24.333000000000002,17.964000000000006,10.152000000000001,22.968000000000004,26.456999999999997,6.276,8.618,16.592,23.996
1910-05-01,20.753,14.798,25.118000000000002,21.293000000000006,10.262,28.53,18.683,10.152,29.531,27.975,25.98,12.607999999999999,26.461,28.311999999999998,18.558,23.188,14.357,31.319000000000006,28.149,24.416,1.831,26.887,25.471999999999998,30.35100000000001,6.845,13.442,24.47,25.081,25.774,25.503,19.234,-11.819,30.272,25.516,25.189,21.227,25.38,25.104,24.93,6.919,24.98,7.3020000000000005,25.82,24.73200000000001,27.353,16.582,-12.300999999999998,26.406,24.410999999999998,27.892,25.543000000000006,25.914,26.004,15.184000000000001,2.5660000000000003,29.873,25.721,26.378,10.52,21.404,26.088,14.314,22.407,24.486,19.279,26.494,26.259,12.345,20.931,26.069000000000006,32.70800000000001,16.933,30.471999999999998,22.5,23.15,9.897,17.669,20.776,19.787000000000006,12.612,22.268,8.709,26.776,32.141,28.463,4.42,27.129,26.846,26.454,24.552,19.325,18.846,27.092,13.874,14.43,30.188000000000002,14.274,18.435,26.022,29.35100000000001,30.954,27.533,26.654,26.051,28.953000000000007,13.76,13.36,28.443,25.578000000000007,7.7810000000000015,9.338,20.758000000000006,27.991999999999997,27.328000000000007,22.575,20.942,14.672,22.625999999999998,30.823,9.876,13.182,12.530999999999999,26.391
1910-06-01,24.45,19.185,30.725,19.029,8.311,29.138,15.229000000000001,14.711,32.499,27.814,26.446,16.601,26.25,27.116,17.95,23.404,18.508,29.919,27.19,23.78,9.467,27.586,24.713,29.781,4.622,17.143,24.289,23.787,25.255,26.491,22.745,-5.399,32.425999999999995,26.258000000000006,26.373,20.721,24.666,24.284000000000002,23.934,8.665,23.671,11.809000000000001,25.20300000000001,23.648000000000003,25.78700000000001,20.898000000000003,-5.85,26.595,23.91,26.009,25.108,27.294,25.058000000000003,19.251,5.7860000000000005,28.268,25.31,31.222,13.437,24.436,26.658,18.743,25.882,22.804,22.715999999999998,25.339000000000002,28.518,16.547,18.893,25.676,33.847,21.104000000000006,32.645,20.789,24.595,14.839,22.57,19.117,20.453,16.562,20.495,6.371,25.896,32.701,27.34800000000001,8.270000000000001,29.555,26.781,26.239,24.355999999999998,19.243,18.119,27.104,17.924,18.598,33.223,18.226,18.799,25.474,32.439,29.944000000000006,26.305999999999997,26.538,25.828000000000007,27.639,10.144,18.827,27.895,25.479,12.344,14.398,20.134,27.473000000000006,25.957,21.089,25.795,19.19,22.269000000000002,33.794000000000004,12.828,18.243,12.222999999999999,26.817
1910-07-01,26.149,21.156,33.843,18.665,6.9380000000000015,29.294,14.521,14.119000000000002,34.789,27.56,26.622,15.868,25.824,25.644000000000002,17.762999999999995,23.085,20.437,27.588,27.081999999999997,23.221,12.882,28.029,24.094,28.76400000000001,4.449,19.804000000000002,23.885,23.152,24.719,26.964000000000002,25.539,-1.9340000000000002,33.626,26.454,26.631999999999998,19.769000000000002,24.503,23.446,23.141,9.668,24.059,13.818,25.228,22.63,24.912,23.689,-2.319,26.718000000000004,23.476,24.162,25.134,27.56,24.475,19.168,8.452,26.461,25.679000000000002,34.21100000000001,14.024000000000001,26.4,26.88,22.086,27.86,22.093000000000004,25.052,24.16,29.796,16.067,18.799,25.831,32.083,23.601,32.744,20.978,24.829,18.727,25.943,18.848,20.326,15.692000000000002,19.697,4.816,25.285999999999998,31.493,25.879,9.975,28.286,26.915,25.454,24.303,18.025,17.840999999999994,26.99,16.988,20.479,34.9,19.059,19.017000000000003,26.079,34.335,27.922,24.81,26.545,25.475,26.876,10.708,21.171,26.993,25.708000000000002,13.704,14.228000000000002,19.584,27.158,25.06,21.906,29.327,22.461,21.892000000000003,35.319,12.73,21.38,9.79,27.218000000000004
1910-08-01,24.926,21.988000000000003,32.541,20.849,9.679,29.531,16.735,14.549,34.465,27.995,26.9,16.583,26.160999999999998,24.829,19.325,24.269000000000002,20.995,26.108,27.296,23.069000000000006,10.536,28.379,23.81900000000001,27.71,5.625,18.681,24.22,23.286,25.052000000000003,27.249,26.827,-2.43,32.918,26.737,26.974,20.112000000000002,24.973000000000006,23.662,22.705,10.72,23.138,11.322,24.741999999999997,23.002,24.167,24.302,-2.818,26.984,23.944000000000006,23.432,25.78700000000001,27.604,25.017,19.253,8.017999999999999,25.956,25.316,33.952000000000005,14.296,27.341,27.082,23.073,28.48,22.335,26.105999999999998,23.57500000000001,29.116,16.552,19.61,25.748,30.646,24.914,32.094,20.428,24.931,16.0,25.508000000000006,20.596,20.399,16.596999999999998,19.504,6.624,25.773000000000003,30.11,25.269000000000002,9.516,27.824,26.928,25.731,24.265,20.672,18.276,26.875,16.578,21.066,34.422,18.985,19.522,25.96,33.992000000000004,27.046999999999997,24.059,26.315,25.43,26.854,12.314,21.58,26.91,26.31600000000001,12.634,14.948,20.704,27.254,24.391,20.638,28.69,22.583000000000002,21.743,34.841,13.635,19.847,12.177,27.067
1910-09-01,19.617,17.136,28.706,22.445,11.928,28.976,20.297,9.908,31.902,28.196,26.852,13.433,25.824,25.008000000000006,21.096,25.121,16.434,26.701,26.397,23.866,4.52,27.884,24.34,28.273000000000003,7.144,13.525,24.32,23.722,24.775,26.71,24.570999999999998,-11.265,31.69100000000001,26.742,26.469,20.725,24.373,24.263,22.965,9.604,23.435,8.146,25.236,23.74,24.033,19.9,-11.771,27.01100000000001,23.513,24.182,26.188,26.985,24.849,14.376,5.1690000000000005,25.724,25.558000000000003,29.561,12.303999999999998,25.174,26.769000000000002,19.465,25.676,23.151,23.655,23.947,27.166,12.903,20.983,25.632,30.978,21.863000000000003,32.437000000000005,21.158,23.591,7.591000000000001,22.501,22.27,19.614,13.841,20.362000000000002,8.155999999999999,25.69,30.131,25.949,5.635,25.493,26.87,25.522,24.69400000000001,22.183000000000003,18.945999999999998,26.461,12.682,19.614,32.409,14.725999999999999,19.413,25.857,31.303,28.095,24.852,26.261,25.895,27.875,15.172,18.294,26.765,26.785,8.683,10.378,21.914,26.311,24.475,20.86,24.249,18.355999999999998,22.093000000000004,32.814,11.588,16.63,13.289,25.399
1910-10-01,13.333,13.405,25.089000000000002,22.577,15.308,27.89,21.148000000000003,7.213999999999999,26.979,26.063,26.617,10.837,24.725,25.82,21.595,24.88000000000001,10.534,28.259,25.691,23.075,-2.099,26.827,23.509,26.582,9.289,7.5939999999999985,23.472,24.854,24.382,25.592,20.082,-19.587,28.8,26.546,25.788,20.241,23.785,24.105,23.105999999999998,8.206000000000001,24.049,0.625,25.23500000000001,23.782,25.386,15.562000000000001,-20.183,26.755,22.627,24.582,25.879,26.197,23.854,9.779,2.678,23.633000000000006,25.771,22.977,10.461,20.706999999999997,25.822,14.523,20.229,24.586,18.917,24.66800000000001,23.624,10.464,22.939,25.355,30.026,22.272,29.477,22.117,20.641,0.15400000000000005,18.833,24.017000000000003,15.616,10.925999999999998,21.282,10.527,25.102,28.121,25.758000000000006,0.17199999999999993,20.767,27.062,24.946,25.185,23.641,18.799,26.025,7.266999999999999,15.347,28.048000000000002,8.343,18.529,25.51,25.836,28.273000000000003,25.334,25.858,26.14,28.345,16.845000000000002,14.201,26.453000000000007,26.541,2.679,8.167,22.685,25.632,25.404,21.832,23.031,12.469000000000001,22.397,28.323,9.805,10.201,15.370999999999999,23.658
